10.1.1.3. Daily average allocated time of the population aged 15–74 by age groups and sex [minute/head];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Activity;15–19 year-old males 1986/1987;15–19 year-old males 1999/2000;15–19 year-old males 2009/2010;15–19 year-old males 2024/2025;15–19 year-old females 1986/1987;15–19 year-old females 1999/2000;15–19 year-old females 2009/2010;15–19 year-old females 2024/2025;15–19 year-old total 1986/1987;15–19 year-old total 1999/2000;15–19 year-old total 2009/2010;15–19 year-old total 2024/2025;20–29 year-old males 1986/1987;20–29 year-old males 1999/2000;20–29 year-old males 2009/2010;20–29 year-old males 2024/2025;20–29 year-old females 1986/1987;20–29 year-old females 1999/2000;20–29 year-old females 2009/2010;20–29 year-old females 2024/2025;20–29 year-old total 1986/1987;20–29 year-old total 1999/2000;20–29 year-old total 2009/2010;20–29 year-old total 2024/2025;30–39 year-old males 1986/1987;30–39 year-old males 1999/2000;30–39 year-old males 2009/2010;30–39 year-old males 2024/2025;30–39 year-old females 1986/1987;30–39 year-old females 1999/2000;30–39 year-old females 2009/2010;30–39 year-old females 2024/2025;30–39 year-old total 1986/1987;30–39 year-old total 1999/2000;30–39 year-old total 2009/2010;30–39 year-old total 2024/2025;40–49 year-old males 1986/1987;40–49 year-old males 1999/2000;40–49 year-old males 2009/2010;40–49 year-old males 2024/2025;40–49 year-old females 1986/1987;40–49 year-old females 1999/2000;40–49 year-old females 2009/2010;40–49 year-old females 2024/2025;40–49 year-old total 1986/1987;40–49 year-old total 1999/2000;40–49 year-old total 2009/2010;40–49 year-old total 2024/2025;50–59 year-old males 1986/1987;50–59 year-old males 1999/2000;50–59 year-old males 2009/2010;50–59 year-old males 2024/2025;50–59 year-old females 1986/1987;50–59 year-old females 1999/2000;50–59 year-old females 2009/2010;50–59 year-old females 2024/2025;50–59 year-old total 1986/1987;50–59 year-old total 1999/2000;50–59 year-old total 2009/2010;50–59 year-old total 2024/2025;60–74 year-old males 1986/1987;60–74 year-old males 1999/2000;60–74 year-old males 2009/2010;60–74 year-old males 2024/2025;60–74 year-old females 1986/1987;60–74 year-old females 1999/2000;60–74 year-old females 2009/2010;60–74 year-old females 2024/2025;60–74 year-old total 1986/1987;60–74 year-old total 1999/2000;60–74 year-old total 2009/2010;60–74 year-old total 2024/2025
going to the movies;15;3;3;1;12;4;2;4;14;4;3;2;9;6;3;2;4;4;4;1;7;5;3;2;2;1;1;1;1;1;1;1;2;1;1;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
visiting other cultural establishment;2;3;0;6;1;2;4;4;2;3;2;5;1;2;1;4;2;3;2;3;1;2;1;3;1;1;1;1;1;2;1;3;1;2;1;2;1;2;1;1;1;2;0;3;1;2;0;2;1;1;2;1;1;1;1;2;1;1;1;2;1;1;1;2;0;0;1;2;0;0;1;2
reading;37;17;6;9;36;21;20;16;37;19;12;13;31;19;9;5;28;18;14;11;30;18;12;8;34;21;10;9;24;16;14;11;29;19;12;10;36;27;15;10;22;20;16;15;29;23;16;13;40;33;24;12;28;24;23;21;33;28;23;16;50;45;39;28;36;28;36;29;42;35;37;29
within this:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reading a book;20;9;2;1;22;13;9;3;21;11;5;2;12;8;3;1;14;10;9;3;13;9;6;2;10;6;3;1;10;8;7;3;10;7;5;2;10;7;4;1;8;9;8;2;9;8;6;2;10;9;6;2;10;11;9;3;10;10;8;2;12;12;11;3;13;12;15;4;12;12;13;3
listening to radio;27;18;1;–;16;11;1;–;22;15;1;–;10;8;0;–;3;4;0;–;7;6;0;–;3;3;0;0;1;1;0;0;2;2;0;0;3;2;0;0;1;1;0;0;2;1;0;0;5;5;2;1;3;1;1;1;4;3;1;1;15;11;4;3;6;6;3;2;10;8;3;2
watching tv, video, using the internet;94;148;120;86;91;137;132;96;93;143;126;91;99;137;149;102;90;132;122;104;94;134;136;103;111;150;148;111;94;125;109;85;102;138;129;99;109;174;156;115;92;140;122;90;100;157;139;103;116;181;183;150;107;169;151;103;111;175;166;126;135;216;222;182;121;210;180;165;127;212;197;173
walking, outing, sports, training;52;51;38;44;29;36;23;19;41;44;31;32;21;32;21;29;15;23;13;13;18;27;17;22;16;22;16;16;8;15;10;11;12;19;13;13;13;15;14;20;5;10;9;13;9;13;12;17;10;16;16;11;7;9;9;10;8;12;12;11;16;18;20;20;7;7;10;8;10;12;14;13
within this:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sports, physical trainings;24;20;29;42;5;7;6;16;15;13;18;29;6;10;13;21;2;4;4;12;4;7;9;17;3;5;8;12;1;2;2;9;2;3;5;10;2;3;6;11;1;1;5;7;1;2;5;9;1;2;3;6;1;1;2;5;1;1;2;5;1;2;5;6;0;1;1;4;0;1;3;5
hobbies, caring for plants, pets;7;27;4;13;10;10;10;16;9;19;7;15;4;13;5;8;7;7;6;10;6;10;5;9;3;9;5;6;6;4;7;10;5;7;6;8;5;9;8;7;9;8;6;8;7;8;7;8;4;11;10;8;14;13;12;13;10;12;11;10;8;13;20;9;23;18;21;15;17;16;21;12
within this:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caring for houseplants, pets;3;2;3;5;1;4;4;4;2;3;4;4;1;3;4;4;1;4;5;7;1;3;4;6;1;2;4;5;1;3;6;6;1;2;5;6;1;3;7;6;1;5;5;6;1;4;6;6;1;5;7;7;2;5;8;9;2;5;7;8;2;6;10;8;2;6;10;9;2;6;10;8
Completing the time use diary;–;–;–;0;–;–;–;1;–;–;–;1;–;–;–;0;–;–;–;2;–;–;–;1;–;–;–;1;–;–;–;2;–;–;–;2;–;–;–;1;–;–;–;1;–;–;–;1;–;–;–;1;–;–;–;2;–;–;–;1;–;–;–;1;–;–;–;2;–;–;–;2
Other or unspecified activities;–;–;–;1;–;–;–;1;–;–;–;1;–;–;–;0;–;–;–;1;–;–;–;1;–;–;–;0;–;–;–;1;–;–;–;0;–;–;–;1;–;–;–;0;–;–;–;0;–;–;–;0;–;–;–;0;–;–;–;0;–;–;–;1;–;–;–;0;–;–;–;1
Total;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 439;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440;1 440
Number of observations, n;1 783;1 078;236;321;1 641;1 151;210;321;3 424;2 229;446;642;2 442;3 523;508;485;2 845;3 232;516;517;5 287;6 755;1 024;1 002;4 266;3 282;640;651;4 353;3 758;697;704;8 619;7 040;1 337;1 355;3 216;3 808;565;880;3 485;3 768;652;967;6 701;7 576;1 217;1 847;3 084;3 224;720;774;3 685;3 508;965;938;6 769;6 732;1 685;1 712;3 164;3 736;751;1 134;4 274;5 442;1 129;1 553;7 438;9 178;1 880;2 687
Statistical population, thousand people;370;334;278;248;348;320;247;233;719;654;525;481;712;825;631;525;681;789;618;482;1 393;1 614;1 250;1 007;850;646;856;642;835;633;847;609;1 685;1 279;1 702;1 251;650;758;628;743;689;788;650;726;1 339;1 546;1 279;1 469;601;589;670;669;683;670;756;679;1 284;1 259;1 427;1 348;594;574;621;722;803;832;901;936;1 396;1 406;1 522;1 658
